frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
101.7,WCZR,FL,VERO BEACH,4.2,27.735583333333334,-80.45727777777778,117.0,A,REAL RADIO 101.7,iHeartMedia,USA,Talk,,Dolphins,,,Ft. Pierce-Stuart-Vero Beach,"591,700"
106.5,WDAF-FM,MO,LIBERTY,100.0,39.07333333333334,-94.48522222222222,296.0,C1,106.5 THE WOLF,"Audacy License, LLC",USA,Country,,Chiefs,,,Kansas City,"1,815,800"
101.7,WDEL-FM,NJ,CANTON,3.3,39.431555555555555,-75.33666666666666,76.0,A,WDEL 101.7 FM,Forever Media,USA,News,Phillies,Eagles,,,,
96.1,WDEV-FM,VT,WARREN,0.4,44.127,-72.92816666666667,8.0,C3,WDEV AM 550 & FM 96.1,WDEV LLC,USA,News,Red Sox,Patriots,,,Burlington-Plattsburgh,"344,900"
98.1,WDGL,LA,BATON ROUGE,100.0,30.366305555555556,-91.21316666666668,458.0,C,EAGLE 98.1,"GUARANTY BROADCASTING COMPANY OF BATON ROUGE, LLC",USA,Rock,,Saints,,,Baton Rouge,"704,400"
100.7,WDMS,MS,GREENVILLE,100.0,33.422333333333334,-91.02816666666666,135.0,C1,100.7 WDMS,"High Plains Radio Network, LLC, Debtor in Possession",USA,Country,,Saints,,,,
100.1,WDMX,WV,VIENNA,1.65,39.33838888888889,-81.50011111111111,55.0,A,MIX 100,iHeartMedia,USA,Classic Hits,,Steelers,,,,
93.3,WDNS,KY,BOWLING GREEN,12.0,36.94419444444444,-86.25302777777777,151.0,C3,D 93,DAILY NEWS BROADCASTING COMPANY,USA,Classic Rock,,Bengals,,,Bowling Green,"259,800"
102.9,WDUN-FM,GA,CLARKESVILLE,16.0,34.48480555555555,-83.63988888888889,100.0,C3,WDUN NEWSTALK,JACOBS MEDIA CORPORATION,USA,News,,Falcons,,,,
92.7,WDUX-FM,WI,WAUPACA,6.0,44.35427777777778,-89.05863888888888,75.0,A,LAKES 92.7,"TOWER ROAD MEDIA, INC.",USA,Classic Hits,Brewers,Packers,,,,
102.5,WDVE,PA,PITTSBURGH,55.0,40.493944444444445,-80.01891666666667,137.0,B,WDVE ROCKS,iHeartMedia,USA,Rock,,Steelers,,,Pittsburgh,"1,998,700"
94.5,WDVT,VT,RUTLAND,6.0,43.56783333333334,-73.00844444444445,57.2,A,ROCK 94.5,"6 JOHNSON ROAD LICENSES, INC.",USA,Classic Rock,,Patriots,,,,
99.7,WEAN-FM,RI,WAKEFIELD-PEACEDALE,2.3,41.57286111111112,-71.63144444444444,82.0,A,NEWS TALK 99.7 FM/630 AM,Cumulus Media,USA,Talk,,Patriots,,,Providence-Warwick-Pawtucket,"1,469,100"
98.5,WEBB,ME,WATERVILLE,61.0,44.564499999999995,-69.61030555555556,115.0,C1,B 98.5,"Townsquare License, LLC",USA,Country,,Patriots,,,Augusta-Waterville,"109,400"
